"","state","year","stationary","moving","NA.x.x","hijacked","boarding","fired upon","detained","NA.y.x","small","big","NA","attempted","acutal","NA.x.y","early","day","evening","night","NA.y.y"
"121","Colombia",1998,3,1,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4
"122","Colombia",1999,2,1,0,1,2,0,0,0,1,2,0,0,3,0,0,0,0,0,3
"123","Colombia",2000,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,2
"124","Colombia",2001,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"125","Colombia",2002,6,0,1,0,4,0,0,3,0,7,0,3,4,0,0,0,2,5,0
"126","Colombia",2003,6,2,0,0,7,0,0,1,0,8,0,1,7,0,1,0,3,4,0
"127","Colombia",2004,3,2,0,0,2,0,0,3,0,5,0,3,2,0,1,0,1,3,0
"128","Colombia",2005,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1,1,0
"129","Colombia",2006,2,0,0,0,1,0,0,1,0,2,0,1,1,0,0,0,1,0,1
"130","Colombia",2008,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"131","Colombia",2009,5,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,3,2,0
"132","Colombia",2010,3,0,0,0,2,0,0,1,0,3,0,1,2,0,1,0,1,1,0
"133","Colombia",2011,3,1,0,0,2,0,0,2,0,4,0,2,2,0,2,0,1,1,0
"134","Colombia",2012,3,2,0,0,4,0,0,1,0,5,0,1,4,0,1,1,1,2,0
"135","Colombia",2013,7,0,0,0,6,0,0,1,0,6,1,1,6,0,0,0,3,4,0
"136","Colombia",2014,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0
"137","Comoros",2009,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"138","Comoros",2010,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"139","Comoros",2011,0,3,0,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,0
"140","Congo",2001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"141","Congo",2006,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"142","Congo",2008,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"143","Congo",2010,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"144","Congo",2011,2,0,0,0,2,0,0,0,0,2,0,0,2,0,1,0,0,1,0
"145","Congo",2012,4,0,0,0,4,0,0,0,2,1,1,0,4,0,0,0,0,4,0
"146","Congo",2013,3,0,0,0,2,0,0,1,1,2,0,1,2,0,0,0,0,3,0
"147","Congo",2014,6,0,0,0,6,0,0,0,3,2,1,0,6,0,0,0,1,5,0
"148","Congo, DRC",2000,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"149","Congo, DRC",2006,1,1,0,0,2,0,0,0,0,1,1,0,2,0,0,0,1,1,0
"150","Congo, DRC",2007,4,0,0,0,4,0,0,0,0,1,3,0,4,0,1,0,1,2,0
"151","Congo, DRC",2008,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"152","Congo, DRC",2009,2,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,2,0
"153","Congo, DRC",2010,2,1,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0
"154","Congo, DRC",2011,3,0,0,0,3,0,0,0,0,2,1,0,3,0,0,0,1,2,0
"155","Congo, DRC",2012,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"156","Congo, DRC",2014,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"157","Costa Rica",2002,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
"158","Costa Rica",2004,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"159","Costa Rica",2009,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0
"160","Costa Rica",2010,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"161","Costa Rica",2011,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0
"162","Costa Rica",2012,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
"163","Cote d'Ivoire",1994,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"164","Cote d'Ivoire",1995,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"165","Cote d'Ivoire",1996,3,0,0,0,2,0,0,1,0,3,0,1,2,0,0,0,2,1,0
"166","Cote d'Ivoire",1997,1,1,2,0,4,0,0,0,0,3,1,0,4,0,0,0,0,0,4
"167","Cote d'Ivoire",1998,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"168","Cote d'Ivoire",1999,5,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,5
"169","Cote d'Ivoire",2000,5,0,0,0,4,0,0,1,0,5,0,1,4,0,0,0,0,0,5
"170","Cote d'Ivoire",2001,9,0,0,0,8,0,0,1,0,7,2,1,8,0,0,0,2,7,0
"171","Cote d'Ivoire",2002,5,0,0,0,5,0,0,0,1,3,1,0,5,0,0,0,1,3,1
"172","Cote d'Ivoire",2003,2,0,0,0,1,0,0,1,0,2,0,1,1,0,0,0,0,2,0
